q48	i48sub
0.00383382	2.08807
0.00409822	2.03675
0.00436262	1.91721
0.00462703	1.82283
0.00489143	1.75218
0.00515583	1.6899
0.00542023	1.62614
0.00568463	1.5681
0.00594903	1.51442
0.00621343	1.46122
0.00647783	1.40855
0.00674224	1.35964
0.00700664	1.32374
0.00727104	1.29594
0.00753544	1.26472
0.00779984	1.23269
0.00806424	1.20328
0.00832864	1.17305
0.00859304	1.14793
0.00885744	1.12545
0.00912185	1.10109
0.00938625	1.07206
0.00965065	1.04583
0.00991505	1.01898
0.0101794	0.997223
0.0104438	0.977282
0.0107083	0.957568
0.0109727	0.939611
0.0112371	0.923286
0.0115015	0.905767
0.0117659	0.88636
0.0120303	0.869334
0.0122947	0.854348
0.0125591	0.840245
0.0128235	0.826392
0.0130879	0.811795
0.0133523	0.79554
0.0136167	0.778969
0.0138811	0.763537
0.0141455	0.751366
0.0144099	0.739622
0.0146743	0.724894
0.0149387	0.709364
0.0152031	0.693455
0.0154675	0.680364
0.0157319	0.670152
0.0159963	0.658906
0.0162607	0.647298
0.0165251	0.635167
0.0167895	0.622624
0.0170539	0.609655
0.0173183	0.598256
0.0175827	0.586681
0.017847	0.57438
0.0181114	0.562299
0.0183758	0.550687
0.0186402	0.540896
0.0189046	0.531266
0.019169	0.521729
0.0194334	0.51248
0.0196978	0.502214
0.0199622	0.493174
0.0202266	0.48518
0.020491	0.475953
0.0207554	0.466028
0.0210198	0.45723
0.0212842	0.448665
0.0215486	0.439931
0.021813	0.431808
0.0220774	0.423798
0.0223418	0.414935
0.0226062	0.406404
0.0228706	0.399576
0.023135	0.392584
0.0233994	0.385936
0.0236638	0.378801
0.0239282	0.371799
0.0241926	0.365458
0.024457	0.358887
0.0247214	0.353847
0.0249858	0.348732
0.0252502	0.342801
0.0255146	0.337183
0.025779	0.331214
0.0260434	0.325443
0.0263078	0.319168
0.0265722	0.314112
0.0268366	0.30916
0.027101	0.304368
0.0273654	0.299627
0.0276298	0.293621
0.0278942	0.288538
0.0281586	0.283994
0.0284229	0.279964
0.0286873	0.276734
0.0289517	0.272213
0.0292161	0.267545
0.0294805	0.262738
0.0297449	0.259001
0.0300093	0.254642
0.0302737	0.250935
0.0305381	0.248324
0.0308025	0.246244
0.0310669	0.24308
0.0313313	0.24025
0.0315957	0.236624
0.0318601	0.232717
0.0321245	0.229037
0.0323889	0.225968
0.0326533	0.223185
0.0329177	0.220085
0.033182	0.217344
0.0334464	0.214047
0.0337108	0.211329
0.0339752	0.20859
0.0342396	0.205021
0.034504	0.202032
0.0347684	0.198819
0.0350328	0.195764
0.0352972	0.193185
0.0355616	0.191542
0.035826	0.189417
0.0360904	0.186391
0.0363548	0.183669
0.0366192	0.180878
0.0368835	0.1786
0.0371479	0.176502
0.0374123	0.174479
0.0376767	0.17246
0.0379411	0.169812
0.0382055	0.16713
0.0384699	0.164972
0.0387343	0.162761
0.0389987	0.16105
0.0392631	0.159515
0.0395274	0.157636
0.0397918	0.155689
0.0400562	0.153958
0.0403206	0.152037
0.040585	0.150322
0.0408494	0.148309
0.0411138	0.145943
0.0413782	0.143947
0.0416426	0.142876
0.0419069	0.141435
0.0421713	0.139434
0.0424357	0.137494
0.0427001	0.136191
0.0429645	0.134719
0.0432289	0.132883
0.0434933	0.131059
0.0437577	0.129771
0.0440221	0.128538
0.0442864	0.126537
0.0445508	0.124839
0.0448152	0.123224
0.0450796	0.12179
0.045344	0.120463
0.0456084	0.119094
0.0458728	0.117546
0.0461371	0.116313
0.0464015	0.114887
0.0466659	0.113519
0.0469303	0.112116
0.0471947	0.110478
0.0474591	0.10922
0.0477235	0.108176
0.0479878	0.107026
0.0482522	0.105833
