q48	i48sub
0.0485166	0.104389
0.048781	0.103213
0.0490454	0.102497
0.0493098	0.101065
0.0495741	0.0998656
0.0498385	0.0983707
0.0501029	0.0971023
0.0503673	0.0960647
0.0506317	0.0948611
0.0508961	0.0934764
0.0511604	0.0925899
0.0514248	0.0915667
0.0516892	0.090527
0.0519536	0.0893794
0.052218	0.0883277
0.0524823	0.0875231
0.0527467	0.0867526
0.0530111	0.0853601
0.0532755	0.083983
0.0535399	0.0829591
0.0538042	0.0819604
0.0540686	0.0809326
0.054333	0.0800972
0.0545974	0.0793834
0.0548618	0.0787012
0.0551261	0.0780669
0.0553905	0.0772362
0.0556549	0.0764943
0.0559193	0.0754099
0.0561837	0.0743478
0.056448	0.0737475
0.0567124	0.0732973
0.0569768	0.0723979
0.0572412	0.071315
0.0575055	0.0703237
0.0577699	0.0693227
0.0580343	0.0686824
0.0582987	0.068127
0.058563	0.0673782
0.0588274	0.0662622
0.0590918	0.0652303
0.0593562	0.0647138
0.0596205	0.0641833
0.0598849	0.0636032
0.0601493	0.0628587
0.0604137	0.0622435
0.0606781	0.0616187
0.0609424	0.0611161
0.0612068	0.0606076
0.0614712	0.0598828
0.0617355	0.0592646
0.0619999	0.0586062
0.0622643	0.057805
0.0625287	0.057369
0.062793	0.0570995
0.0630574	0.0563757
0.0633218	0.0555265
0.0635861	0.0548818
0.0638505	0.0541486
0.0641149	0.053456
0.0643793	0.0530476
0.0646436	0.0525812
0.064908	0.0518234
0.0651724	0.0512354
0.0654367	0.05076
0.0657011	0.0502625
0.0659655	0.0498047
0.0662299	0.0492432
0.0664942	0.04865
0.0667586	0.0479867
0.067023	0.0474628
0.0672873	0.0470101
0.0675517	0.0464802
0.0678161	0.0459749
0.0680804	0.0453364
0.0683448	0.0449233
0.0686092	0.0445713
0.0688735	0.0439857
0.0691379	0.0432567
0.0694023	0.0428074
0.0696666	0.0424678
0.069931	0.0419904
0.0701954	0.0415347
0.0704597	0.0412129
0.0707241	0.0409744
0.0709884	0.0405616
0.0712528	0.0400459
0.0715172	0.0396505
0.0717815	0.0391875
0.0720459	0.0386838
0.0723103	0.0382408
0.0725746	0.0379315
0.072839	0.0377408
0.0731033	0.0373166
0.0733677	0.0368578
0.0736321	0.0364275
0.0738964	0.0359472
0.0741608	0.0354248
0.0744252	0.0350596
0.0746895	0.0347001
0.0749539	0.0342806
0.0752182	0.0339596
0.0754826	0.0336027
0.0757469	0.0333967
0.0760113	0.032922
0.0762757	0.0325447
0.07654	0.0322887
0.0768044	0.0319779
0.0770687	0.0316928
0.0773331	0.0311339
0.0775975	0.0308401
0.0778618	0.0307341
0.0781262	0.0303654
0.0783905	0.0300638
0.0786549	0.0297589
0.0789192	0.0293896
0.0791836	0.0290804
0.0794479	0.0285229
0.0797123	0.0282367
0.0799766	0.0281609
0.080241	0.0277908
0.0805054	0.0274083
0.0807697	0.0272526
0.0810341	0.0271571
0.0812984	0.0269231
0.0815628	0.0264947
0.0818271	0.0261077
0.0820915	0.025825
0.0823558	0.0255931
0.0826202	0.0252495
0.0828845	0.0250343
0.0831489	0.0248283
0.0834132	0.0247945
0.0836776	0.0245336
0.0839419	0.0244315
0.0842063	0.0242791
0.0844706	0.0239061
0.084735	0.0236413
0.0849993	0.0234823
0.0852637	0.0233194
0.085528	0.0231921
0.0857924	0.023014
0.0860567	0.0225159
0.086321	0.022265
0.0865854	0.022057
0.0868497	0.0218228
0.0871141	0.0214877
0.0873784	0.021417
0.0876428	0.0214873
0.0879071	0.0213408
0.0881715	0.0211844
0.0884358	0.0210321
0.0887001	0.0207297
0.0889645	0.020373
0.0892288	0.0201234
0.0894932	0.0200524
0.0897575	0.0199379
0.0900219	0.0197673
0.0902862	0.0196911
0.0905505	0.0195656
0.0908149	0.0192693
0.0910792	0.0189491
0.0913436	0.0186849
0.0916079	0.0184142
0.0918722	0.0180749
0.0921366	0.01777
0.0924009	0.0177416
0.0926652	0.017638
0.0929296	0.0175493
0.0931939	0.0175393
0.0934583	0.0174595
0.0937226	0.0174624
0.0939869	0.0174146
0.0942513	0.017151
0.0945156	0.0168437
0.0947799	0.0167579
0.0950443	0.0166913
0.0953086	0.0164007
0.0955729	0.0161292
0.0958373	0.0159407
0.0961016	0.0156923
0.0963659	0.0155915
0.0966303	0.0155919
0.0968946	0.0154193
0.0971589	0.0151122
0.0974233	0.0150449
0.0976876	0.0150912
0.0979519	0.0150341
0.0982163	0.014729
0.0984806	0.0144583
0.0987449	0.0142689
0.0990092	0.0141393
0.0992736	0.014055
0.0995379	0.0140936
0.0998022	0.0139523
0.100067	0.0138443
0.100331	0.0136964
0.100595	0.0135186
0.10086	0.013462
0.101124	0.0132907
0.101388	0.0131746
0.101653	0.0130969
0.101917	0.0128228
0.102181	0.0126994
0.102445	0.0125702
0.10271	0.0124352
0.102974	0.0122016
0.103238	0.0121466
0.103503	0.0121586
0.103767	0.0121982
0.104031	0.012155
0.104296	0.0119392
0.10456	0.0116001
0.104824	0.0115221
0.105089	0.0115048
0.105353	0.0114757
0.105617	0.0115431
0.105882	0.0113996
0.106146	0.01137
0.10641	0.0111186
0.106675	0.0110282
0.106939	0.0107751
0.107203	0.0106598
0.107468	0.0107521
0.107732	0.0106307
0.107996	0.0105316
0.10826	0.01049
0.108525	0.0103488
0.108789	0.010257
0.109053	0.0102796
0.109318	0.0101171
0.109582	0.0098484
0.109846	0.00972096
0.110111	0.00976569
0.110375	0.0096791
0.110639	0.00957923
0.110904	0.00932486
0.111168	0.00913122
0.111432	0.00919578
0.111697	0.00912053
0.111961	0.00910106
0.112225	0.00918828
0.112489	0.00917751
0.112754	0.00907327
0.113018	0.00898129
0.113282	0.00891204
0.113547	0.00886048
0.113811	0.00870329
0.114075	0.00856421
0.11434	0.00845728
0.114604	0.00832739
0.114868	0.00816476
0.115133	0.0080292
0.115397	0.00797233
0.115661	0.00789913
0.115925	0.00789864
0.11619	0.00796739
0.116454	0.00797376
0.116718	0.00785324
0.116983	0.007754
0.117247	0.00769082
0.117511	0.00771897
0.117776	0.0078394
0.11804	0.00772964
0.118304	0.00747806
0.118568	0.00722836
0.118833	0.00705509
0.119097	0.00714013
0.119361	0.00718416
0.119626	0.00711207
0.11989	0.00711664
0.120154	0.00704446
0.120418	0.00683968
0.120683	0.00669692
0.120947	0.00674782
0.121211	0.00672053
0.121476	0.00665087
0.12174	0.00652399
0.122004	0.00648259
0.122269	0.00650303
0.122533	0.00639047
0.122797	0.00636809
0.123061	0.00651729
0.123326	0.00651543
0.12359	0.00636232
0.123854	0.00624181
0.124119	0.00612548
0.124383	0.00603857
0.124647	0.00605915
0.124911	0.00611029
0.125176	0.0062378
0.12544	0.00608297
0.125704	0.00600868
0.125969	0.0058997
0.126233	0.00584553
0.126497	0.0057898
0.126761	0.00566038
0.127026	0.00557043
0.12729	0.00558236
0.127554	0.00567959
0.127818	0.00571809
0.128083	0.0055886
0.128347	0.00538848
0.128611	0.00537658
0.128876	0.00547793
0.12914	0.0054416
0.129404	0.00537197
0.129668	0.0053515
0.129933	0.00529869
0.130197	0.00520762
0.130461	0.00515004
0.130726	0.00513
0.13099	0.00500233
0.131254	0.00492908
0.131518	0.00487124
0.131783	0.00479571
0.132047	0.00479454
0.132311	0.00484911
0.132575	0.0048009
0.13284	0.00467
0.133104	0.00455658
0.133368	0.00456417
0.133633	0.00458604
0.133897	0.00445515
0.134161	0.00444838
0.134425	0.00442161
0.13469	0.00446271
0.134954	0.00441999
0.135218	0.00442003
0.135482	0.00431764
0.135747	0.00422866
0.136011	0.00424846
0.136275	0.0042836
0.136539	0.00428458
0.136804	0.00423264
0.137068	0.00409156
0.137332	0.00388725
0.137596	0.0039359
0.137861	0.0040231
0.138125	0.003978
0.138389	0.00401172
0.138654	0.00393991
0.138918	0.0038923
0.139182	0.00386865
0.139446	0.00380942
0.139711	0.00374123
0.139975	0.00371716
0.140239	0.00372208
0.140503	0.00375994
0.140768	0.00375212
0.141032	0.00373757
0.141296	0.00371539
0.14156	0.00362793
0.141825	0.00361039
0.142089	0.00358187
0.142353	0.00353165
0.142617	0.00339486
0.142882	0.00332085
0.143146	0.00337275
0.14341	0.00346564
0.143674	0.00346592
0.143939	0.00342556
0.144203	0.00323595
0.144467	0.00328091
0.144731	0.00335041
0.144996	0.00332682
0.14526	0.00338599
0.145524	0.00338011
0.145788	0.00338568
0.146053	0.00332481
0.146317	0.00327302
0.146581	0.00328118
0.146845	0.00321183
0.147109	0.00318347
0.147374	0.00314198
0.147638	0.00302592
0.147902	0.00301161
0.148166	0.00310024
0.148431	0.0031538
0.148695	0.00298247
0.148959	0.00292677
0.149223	0.00285483
0.149488	0.0028608
0.149752	0.00282766
0.150016	0.00279794
0.15028	0.00279995
0.150545	0.00286017
0.150809	0.00291332
0.151073	0.00280922
0.151337	0.00268383
0.151601	0.00269335
0.151866	0.00278218
0.15213	0.00288336
0.152394	0.00280852
0.152658	0.0027362
0.152923	0.00264187
0.153187	0.00263379
0.153451	0.00272109
0.153715	0.00265536
0.15398	0.00254618
0.154244	0.00253976
0.154508	0.00247246
0.154772	0.0024373
0.155036	0.00248855
0.155301	0.00239926
0.155565	0.00241302
0.155829	0.00255626
0.156093	0.00253025
0.156358	0.00242213
0.156622	0.00247958
0.156886	0.00255194
0.15715	0.00254102
0.157414	0.00245019
0.157679	0.00245432
0.157943	0.00247547
0.158207	0.00237338
0.158471	0.00236968
0.158736	0.00244528
0.159	0.00233656
0.159264	0.00219284
0.159528	0.00215352
0.159792	0.00219966
0.160057	0.00232
0.160321	0.00222531
0.160585	0.00220129
0.160849	0.00220244
0.161113	0.00214141
0.161378	0.00206268
0.161642	0.0020555
0.161906	0.00210048
0.16217	0.00211814
0.162434	0.0021408
0.162699	0.00220906
0.162963	0.00210477
0.163227	0.00203231
0.163491	0.00214196
0.163755	0.00214153
0.16402	0.00209664
0.164284	0.00210122
0.164548	0.00216906
0.164812	0.00219201
0.165076	0.0021962
0.165341	0.00212947
0.165605	0.00201434
0.165869	0.00195809
0.166133	0.00201267
0.166397	0.00195226
0.166662	0.00183587
0.166926	0.00176012
0.16719	0.00173479
0.167454	0.00183943
0.167718	0.00188738
0.167983	0.00184165
0.168247	0.00192463
0.168511	0.00190657
0.168775	0.00193207
0.169039	0.00180779
0.169304	0.00183787
0.169568	0.0018637
0.169832	0.00187709
0.170096	0.00168897
0.17036	0.0016543
0.170624	0.00165753
0.170889	0.00151048
0.171153	0.00153493
0.171417	0.00166096
0.171681	0.00176788
0.171945	0.00185786
0.17221	0.00181246
0.172474	0.00163239
0.172738	0.00156701
0.173002	0.00156378
0.173266	0.00167081
0.17353	0.00168754
0.173795	0.00163578
0.174059	0.00171874
0.174323	0.00173562
0.174587	0.00175674
0.174851	0.0017668
0.175115	0.00171329
0.17538	0.00166943
0.175644	0.00158446
0.175908	0.00156861
0.176172	0.00152187
0.176436	0.00156234
0.176701	0.00156697
0.176965	0.00149674
0.177229	0.00151415
0.177493	0.00168295
0.177757	0.00174434
0.178021	0.00165835
0.178286	0.00171256
0.17855	0.00162121
0.178814	0.00156559
0.179078	0.00145827
0.179342	0.00129238
0.179606	0.00131797
0.17987	0.0013549
0.180135	0.00133829
0.180399	0.00131805
0.180663	0.00123612
0.180927	0.00130417
0.181191	0.00137205
0.181455	0.00141817
0.18172	0.00148914
0.181984	0.00155156
0.182248	0.00148039
0.182512	0.001465
0.182776	0.0014811
0.18304	0.0015324
0.183305	0.00149682
0.183569	0.00149295
0.183833	0.00136876
0.184097	0.00148103
0.184361	0.00154466
0.184625	0.00142849
0.184889	0.00124963
0.185154	0.00118175
0.185418	0.00120765
0.185682	0.0012558
0.185946	0.00131703
0.18621	0.00134324
0.186474	0.0014202
0.186738	0.00137837
0.187003	0.00125235
0.187267	0.00125718
0.187531	0.00127539
0.187795	0.00120468
0.188059	0.00117432
0.188323	0.00120535
0.188587	0.001219
0.188852	0.00130271
0.189116	0.00130871
0.18938	0.00137053
0.189644	0.00140005
0.189908	0.00134883
0.190172	0.00137989
0.190436	0.00136802
0.1907	0.0013244
0.190965	0.00127967
0.191229	0.00133522
0.191493	0.00148669
0.191757	0.00134079
0.192021	0.00123342
0.192285	0.00116256
0.192549	0.00130547
0.192813	0.00141232
0.193078	0.00127613
0.193342	0.00114022
0.193606	0.00127131
0.19387	0.00138341
0.194134	0.00125098
0.194398	0.00106875
0.194662	0.00111541
0.194926	0.00121996
0.195191	0.00111578
0.195455	0.00110777
0.195719	0.00109475
0.195983	0.00112004
0.196247	0.00130224
0.196511	0.0012034
0.196775	0.00113634
0.197039	0.00114258
0.197303	0.00119556
0.197568	0.00118309
0.197832	0.00113567
0.198096	0.00106209
0.19836	0.000914498
0.198624	0.000903872
0.198888	0.00101947
0.199152	0.00111423
0.199416	0.00113789
0.19968	0.00114566
0.199945	0.0010752
0.200209	0.000979966
0.200473	0.0010571
0.200737	0.00106242
0.201001	0.00100549
0.201265	0.000960272
0.201529	0.000993358
0.201793	0.00102308
0.202057	0.00114532
0.202321	0.00105926
0.202586	0.0010752
0.20285	0.00125971
0.203114	0.00114446
0.203378	0.00104728
0.203642	0.00103345
0.203906	0.00113634
0.20417	0.00107134
0.204434	0.000996487
0.204698	0.000869663
0.204962	0.000717473
0.205226	0.000785229
0.205491	0.000772458
0.205755	0.000785793
0.206019	0.000790295
0.206283	0.000762628
0.206547	0.000911641
0.206811	0.000898552
0.207075	0.00110154
0.207339	0.00121056
0.207603	0.00103357
0.207867	0.000878777
0.208131	0.000957763
0.208395	0.000902318
0.20866	0.000986686
0.208924	0.00091643
0.209188	0.000790945
0.209452	0.000683253
0.209716	0.000663183
0.20998	0.00102248
0.210244	0.000952523
0.210508	0.000975336
0.210772	0.000961054
0.211036	0.000924858
0.2113	0.000859564
0.211564	0.000789942
0.211828	0.00080099
0.212092	0.000832858
0.212357	0.000817918
0.212621	0.00090485
0.212885	0.000841106
0.213149	0.000933059
0.213413	0.000916112
0.213677	0.00099256
0.213941	0.00114126
0.214205	0.00114965
0.214469	0.00114167
0.214733	0.00107274
0.214997	0.00129436
0.215261	0.0010735
0.215525	0.00110301
0.215789	0.000959985
0.216053	0.000924838
0.216317	0.000856803
0.216581	0.000811752
0.216846	0.000883464
0.21711	0.000761762
0.217374	0.000846742
0.217638	0.000868566
0.217902	0.000711296
0.218166	0.000686759
0.21843	0.000867246
0.218694	0.000985654
0.218958	0.000848562
0.219222	0.000789654
0.219486	0.000775985
0.21975	0.000809314
0.220014	0.000837564
0.220278	0.000907546
0.220542	0.000665807
0.220806	0.000784583
0.22107	0.000837526
0.221334	0.000998019
0.221598	0.000947466
0.221862	0.00073109
0.222126	0.000708351
0.22239	0.000835432
0.222654	0.00100837
0.222918	0.000715503
0.223182	0.000391809
0.223446	0.000723722
0.223711	0.000742145
0.223975	0.00050857
0.224239	0.000443198
0.224503	0.000651258
0.224767	0.000737967
0.225031	0.000908858
0.225295	0.000792186
0.225559	0.00082498
0.225823	0.000884669
0.226087	0.000956324
0.226351	0.000795367
0.226615	0.000789583
0.226879	0.000764653
0.227143	0.000942568
0.227407	0.00118235
0.227671	0.00106006
0.227935	0.0010883
0.228199	0.0010939
0.228463	0.000993279
0.228727	0.000749795
0.228991	0.000852316
0.229255	0.00099925
0.229519	0.000646934
0.229783	0.000774392
0.230047	0.000879858
0.230311	0.000676509
0.230575	0.000577381
0.230839	0.00057519
0.231103	0.000697743
0.231367	0.000992385
0.231631	0.000991522
0.231895	0.000966713
0.232159	0.00113318
0.232423	0.00119306
0.232687	0.00114626
0.232951	0.00096345
0.233215	0.000873226
0.233479	0.000970251
0.233743	0.000978704
0.234007	0.00081883
0.234271	0.00058209
0.234535	0.00080745
0.234799	0.00105318
0.235063	0.000729131
0.235327	0.000698484
0.235591	0.00050449
0.235855	0.00064474
0.236119	0.00054482
0.236383	0.000523826
0.236647	0.000619181
0.236911	0.000611243
0.237175	0.000221704
0.237439	0.000333445
0.237703	0.000454591
0.237967	0.000418248
0.238231	0.000719545
0.238495	0.000692216
0.238759	0.000646795
0.239023	0.000768915
0.239287	0.000692909
0.239551	0.000867679
0.239815	0.000805398
0.240079	0.000708848
0.240343	0.00068136
0.240606	0.000577108
0.24087	0.000711652
0.241134	0.000538408
0.241398	0.000681508
0.241662	0.00071858
0.241926	0.000838252
0.24219	0.00052048
0.242454	0.000659614
0.242718	0.00070225
0.242982	0.00090247
0.243246	0.00117075
0.24351	0.00105981
0.243774	0.00115087
0.244038	0.00129861
0.244302	0.000968442
0.244566	0.000486006
0.24483	0.000249057
0.245094	0.000322089
0.245358	0.00044768
0.245622	0.00071342
0.245886	0.00081886
0.24615	0.000691732
0.246414	0.000322253
0.246678	0.000138747
0.246941	0.000723989
0.247205	0.00111077
0.247469	0.000642709
0.247733	0.000365824
0.247997	0.000689025
0.248261	0.000522084
0.248525	5.97E-05
0.248789	0.00120552
0.249053	0.00092451
0.249317	0.00109182
0.249581	0.000603854
0.249845	0.000492766
0.250109	0.000729372
0.250373	0.000608342
0.250637	0.000677133
0.250901	0.000525552
0.251165	0.00042365
0.251428	0.000326586
0.251692	0.00066164
0.251956	0.0010107
0.25222	0.00108781
0.252484	0.000598336
0.252748	0.000957138
0.253012	0.000952517
0.253276	0.000714172
0.25354	0.000654749
0.253804	0.000477346
0.254068	0.000715791
0.254332	0.000747059
0.254596	0.000568382
0.254859	0.000425764
0.255123	-0.000315474
0.255387	1.88E-05
0.255651	0.0011205
0.255915	0.00104324
0.256179	0.000620107
0.256443	0.000390237
0.256707	8.83E-05
0.256971	0.000621152
0.257235	0.000906602
0.257499	0.000733183
0.257762	0.000935206
0.258026	0.00139199
0.25829	0.00105836
0.258554	0.00106528
0.258818	0.00100618
0.259082	0.00150415
0.259346	0.00213801
0.25961	0.00199628
0.259874	0.00126677
0.260138	0.00158639
0.260401	0.00246051
0.260665	0.00230756
0.260929	0.0017036
0.261193	0.00126668
0.261457	-0.000365266
